,Цех,Ст_№_ГПА,Дата,ГТУ1_В,ГТУ1_Г,ГТУ1_О,ГТУ2_В,ГТУ2_Г,ГТУ2_О,ГТУ3_В,ГТУ3_Г,ГТУ3_О,ГТУ4_В,ГТУ4_Г,ГТУ4_О,ГТУ5_В,ГТУ5_Г,ГТУ5_О,ГТУ6_В,ГТУ6_Г,ГТУ6_О,ЦБН1_В,ЦБН1_Г,ЦБН1_О,ЦБН2_В,ЦБН2_Г,ЦБН2_О,ЦБН3_В,ЦБН3_Г,ЦБН4_В,ЦБН4_Г,ЦБН4_О,ЦБН4_NТВД,ЦБН4_NТНД,ЦБН4_3,ЦБН4_Рвх,ЦБН4_Рвых,Оценка_ГТУ,Оценка_ЦБН,Оценка_ГПА,Прибор,ЧД_Гц,Наработка_ГТУ_ч,Примечание,Филиал,КС,Тип_ГПА,Тип_ГТУ,Тип_ЦБК,Макс_ГТУ,Макс_V_ЦБН,Макс_S_ЦБН
167,Цех_1,11,2022-03-28 09:00:00,2.5,1.6,1.4,1.5,1.2,1.1,3.1,2.5,0.7,,,,,,,,,,2.1,1.1,1.0,,,,,,,,,4590.0,4700.0,,39.06,46.44,хорошо,хорошо,хорошо,"SKF-GX,№71014",10 - 1000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,3.1,2.1,
977,Цех_2,21,2022-03-28 09:00:00,2.1,1.3,1.3,1.2,1.2,1.5,,,,,,,,,,,,,1.3,1.7,1.2,,,,,,,,,4620.0,3990.0,,38.69,46.47,хорошо,отлично,хорошо,"SKF-GX,№71014",10 - 5000,,-,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,2.1,1.7,
2137,Цех_3,32,2022-03-28 15:30:00,2.6,1.6,2.2,,,,,,,1.9,1.5,1.3,,,,,,,,,,,,,29.0,23.0,17.0,15.0,,7060.0,5100.0,,49.8,68.8,отлично,хорошо,хорошо,"SKF-GX,№71014 / BN-3500"," 4,5-2000",,-,Приводинское ЛПУМГ,КС-14,ГТК-10И,MS3002,PCL-802/24,2.6,,29.0
2325,Цех_3,33,2022-03-28 11:00:00,4.2,2.5,1.8,,,,,,,1.5,1.2,1.3,,,,,,,,,,,,,35.0,30.0,26.0,28.0,,7030.0,5165.0,,49.6,68.7,хорошо,хорошо,хорошо,"SKF-GX,№71014 / BN-3500"," 4,5-2000",,-,Приводинское ЛПУМГ,КС-14,ГТК-10И(Р),MS3002R,PCL-802/24,4.2,,35.0
2522,Цех_3,34,2022-03-10 10:00:00,3.45,3.2,1.8,,,,,,,1.7,1.2,1.1,,,,,,,,,,,,,31.0,39.0,28.0,24.0,,7060.0,5550.0,,48.95,67.51,хорошо,удовл.,удовл.,"SKF-GX,№71014 /
BN-3500","  4,5-2000",,-,Приводинское ЛПУМГ,КС-14,ГТК-10И(Р),MS3002R,PCL-802/24,3.45,,39.0
2523,Цех_3,34,2022-03-10 10:00:00,3.38,3.3,1.5,,,,,,,1.9,1.5,1.3,,,,,,,,,,,,,30.0,38.0,27.0,23.0,,7060.0,5460.0,,48.95,67.51,хорошо,удовл.,удовл.,"SKF-GX,№71014 /
BN-3500","  4,5-2000",,-,Приводинское ЛПУМГ,КС-14,ГТК-10И(Р),MS3002R,PCL-802/24,3.38,,38.0
2524,Цех_3,34,2022-03-10 10:00:00,3.45,3.0,1.1,,,,,,,1.8,1.5,1.2,,,,,,,,,,,,,28.0,35.0,27.0,23.0,,7060.0,5360.0,,49.15,67.3,хорошо,хорошо,хорошо,"SKF-GX,№71014 /
BN-3500","  4,5-2000",,-,Приводинское ЛПУМГ,КС-14,ГТК-10И(Р),MS3002R,PCL-802/24,3.45,,35.0
2711,Цех_3,35,2022-03-28 00:00:00,3.5,1.7,1.5,,,,,,,1.8,1.5,1.0,,,,,,,,,,,,,25.0,28.0,33.0,25.0,,7030.0,5460.0,,50.1,68.6,хорошо,хорошо,хорошо,"SKF-GX,№71014 / BN-3500","  4,5-2000",,-,Приводинское ЛПУМГ,КС-14,ГТК-10И(Р),MS3002R,PCL-802/24,3.5,,33.0
3281,Цех_3бис,37,2022-03-28 17:00:00,3.0,2.5,1.9,2.5,3.1,1.9,2.4,2.4,2.2,4.2,2.9,3.8,,,,,,,1.8,1.95,1.3,1.6,1.5,1.9,89.0,85.0,,,,6400.0,4800.0,,49.5,68.5,отлично,удовл.,удовл.,"СКВ:СВКА1-03.04/01;СВКА 1-02.06/ SKF-GX,№71014",10 - 1000,, -,Приводинское ЛПУМГ,КС-14,ГТН-16М1,ГТН-16М-1,"2Н-16-76-1,44М-1",4.2,1.95,89.0
4846,Цех_4,46,2022-03-04 14:00:00,3.2,3.6,4.3,9.4,6.7,6.5,,,,5.5,3.6,4.2,4.5,4.7,4.7,4.7,8.4,8.3,2.0,1.4,1.7,,,,,,,,,6985.0,4950.0,4220.0,51.2,59.6,хорошо,отлично,хорошо,"SKF-GX,№71014",10 - 1000,,-,Приводинское ЛПУМГ,КС-14,ГПУ-10,ДР59Л,Н-370-18-1,9.4,2.0,
