,Цех,Ст_№_ГПА,Дата,ГТУ1_В,ГТУ1_Г,ГТУ1_О,ГТУ2_В,ГТУ2_Г,ГТУ2_О,ГТУ3_В,ГТУ3_Г,ГТУ3_О,ГТУ4_В,ГТУ4_Г,ГТУ4_О,ГТУ5_В,ГТУ5_Г,ГТУ5_О,ГТУ6_В,ГТУ6_Г,ГТУ6_О,ЦБН1_В,ЦБН1_Г,ЦБН1_О,ЦБН2_В,ЦБН2_Г,ЦБН2_О,ЦБН3_В,ЦБН3_Г,ЦБН4_В,ЦБН4_Г,ЦБН4_О,ЦБН4_NТВД,ЦБН4_NТНД,ЦБН4_3,ЦБН4_Рвх,ЦБН4_Рвых,Оценка_ГТУ,Оценка_ЦБН,Оценка_ГПА,Прибор,ЧД_Гц,Наработка_ГТУ_ч,Примечание,Филиал,КС,Тип_ГПА,Тип_ГТУ,Тип_ЦБК,Макс_ГТУ,Макс_V_ЦБН,Макс_S_ЦБН
0,Цех_1,11,2002-11-10 10:00:00,3.5,1.8,1.1,1.8,1.3,1.1,3.0,2.4,0.6,,,,,,,,,,1.2,1.1,0.8,,,,,,,,,4800.0,5090.0,,,,хорошо,отлично,хорошо,,,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,3.5,1.2,
1,Цех_1,11,2003-01-15 10:00:00,1.2,1.2,0.8,1.1,1.0,0.7,3.3,2.9,0.6,,,,,,,,,,0.8,0.8,1.4,,,,,,,,,4710.0,4980.0,,,,хорошо,отлично,хорошо,,,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,3.3,1.4,
2,Цех_1,11,2003-02-26 10:00:00,1.3,1.2,1.1,1.2,1.1,0.9,3.7,2.8,1.1,,,,,,,,,,0.8,0.8,1.0,,,,,,,,,4740.0,4950.0,,,,хорошо,отлично,хорошо,№764/986,10 - 1000,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,3.7,1.0,
3,Цех_1,11,2003-03-19 10:00:00,1.3,1.7,0.8,1.7,1.7,1.1,4.3,4.2,0.7,,,,,,,,,,1.1,1.3,1.2,,,,,,,,,4880.0,5220.0,,,,хорошо,отлично,хорошо,№764/986,10 - 1000,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,4.3,1.3,
4,Цех_1,11,2003-09-08 10:00:00,1.0,1.2,1.0,1.0,1.2,0.8,3.6,3.2,1.1,,,,,,,,,,1.8,1.3,3.4,,,,,,,,,5110.0,4960.0,,,,хорошо,допустимо,допустимо,№763/1023,10 - 1000,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,3.6,3.4,
5,Цех_1,11,2003-10-20 10:00:00,1.1,1.3,1.5,1.2,1.2,0.8,4.0,3.5,1.0,,,,,,,,,,0.9,0.7,0.9,,,,,,,,,4790.0,5020.0,,,,хорошо,отлично,хорошо,№763/1023,10 - 1000,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,4.0,0.9,
6,Цех_1,11,2004-01-09 10:00:00,,,,,,,,3.6,,,,,,,,,,,1.6,,,,,,,,,,,4740.0,5180.0,,,,хорошо,отлично,хорошо,ВИК-3,10 - 1000*,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,3.6,1.6,
7,Цех_1,11,2004-02-09 10:00:00,,,,,,,,2.4,,,,,,,,,,,1.4,,,,,,,,,,,4660.0,4750.0,,,,хорошо,отлично,хорошо,ВИК-3,10 - 1000*,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,2.4,1.4,
8,Цех_1,11,2004-02-24 10:00:00,,,,,,,,3.7,,,,,,,,,,,1.3,,,,,,,,,,,4880.0,5090.0,,,,хорошо,отлично,хорошо,ВИК-3,10 - 1000*,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,3.7,1.3,
9,Цех_1,11,2004-03-09 10:00:00,,,,,,,,4.0,,,,,,,,,,,1.5,,,,,,,,,,,4830.0,5040.0,,,,хорошо,отлично,хорошо,ВИК-3,10 - 1000*,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,4.0,1.5,
