Филиал;КС;Ст_№_ГПА;Цех;Тип_ГПА;Тип_ГТУ;Тип_ЦБК
Приводинское ЛПУМГ;КС-14;11;Цех_1;ГТ-750-6;ГТ 750-6 А2;Н-370-17-1
Приводинское ЛПУМГ;КС-14;12;Цех_1;ГТ-750-6;ГТ 750-6 А2;Н-370-17-1
Приводинское ЛПУМГ;КС-14;13;Цех_1;ГТ-750-6;ГТ 750-6 А2;Н-370-17-1
Приводинское ЛПУМГ;КС-14;14;Цех_1;ГТ-750-6;ГТ 750-6 А2;Н-370-17-1
Приводинское ЛПУМГ;КС-14;15;Цех_1;ГТ-750-6;ГТ 750-6 А2;Н-370-17-1
Приводинское ЛПУМГ;КС-14;21;Цех_2;ГТК-10;ГТК-10-4;Н-520-12-1
Приводинское ЛПУМГ;КС-14;22;Цех_2;ГТК-10;ГТК-10-4;Н-520-12-1
Приводинское ЛПУМГ;КС-14;23;Цех_2;ГТК-10М;ГТК-10-4;Н-520-12-1
Приводинское ЛПУМГ;КС-14;24;Цех_2;ГТК-10;ГТК-10-4;Н-520-12-1
Приводинское ЛПУМГ;КС-14;25;Цех_2;ГТК-10;ГТК-10-4;Н-520-12-1
Приводинское ЛПУМГ;КС-14;31;Цех_3;ГТК-10И;MS3002;PCL-802/24
Приводинское ЛПУМГ;КС-14;32;Цех_3;ГТК-10И;MS3002;PCL-802/24
Приводинское ЛПУМГ;КС-14;33;Цех_3;ГТК-10И(Р);MS3002R;PCL-802/24
Приводинское ЛПУМГ;КС-14;34;Цех_3;ГТК-10И(Р);MS3002R;PCL-802/24
Приводинское ЛПУМГ;КС-14;35;Цех_3;ГТК-10И(Р);MS3002R;PCL-802/24
Приводинское ЛПУМГ;КС-14;36;Цех_3;ГТК-10И(Р);MS3002R;PCL-802/24
Приводинское ЛПУМГ;КС-14;37;Цех_3бис;ГТН-16М1;ГТН-16М-1;2Н-16-76-1,44М-1
Приводинское ЛПУМГ;КС-14;38;Цех_3бис;ГТН-16М1;ГТН-16М-1;2Н-16-76-1,44М-1
Приводинское ЛПУМГ;КС-14;41;Цех_4;ГПУ-10;ДР59Л;Н-370-18-1
Приводинское ЛПУМГ;КС-14;42;Цех_4;ГПУ-10;ДР59Л;Н-370-18-1
Приводинское ЛПУМГ;КС-14;43;Цех_4;ГПУ-10;ДР59Л;Н-370-18-1
Приводинское ЛПУМГ;КС-14;44;Цех_4;ГПУ-10;ДР59Л;Н-370-18-1
Приводинское ЛПУМГ;КС-14;45;Цех_4;ГПУ-10;ДР59Л;Н-370-18-1
Приводинское ЛПУМГ;КС-14;46;Цех_4;ГПУ-10;ДР59Л;Н-370-18-1
Приводинское ЛПУМГ;КС-14;47;Цех_4;ГПУ-10;ДР59Л;Н-370-18-1
Приводинское ЛПУМГ;КС-14;48;Цех_4;ГПУ-10;ДР59Л;Н-370-18-1
Приводинское ЛПУМГ;КС Приводинская;51;Цех_5;ГПА-Ц1-16С/76-1,44;ДГ 90Л2.1;291ГЦ2-385/53-76М
Приводинское ЛПУМГ;КС Приводинская;52;Цех_5;ГПА-Ц1-16С/76-1,44;ДГ 90Л2.1;291ГЦ2-385/53-76М
Приводинское ЛПУМГ;КС Приводинская;53;Цех_5;ГПА-Ц1-16С/76-1,44;ДГ 90Л2.1;291ГЦ2-385/53-76М
Приводинское ЛПУМГ;КС Приводинская;54;Цех_5;ГПА-Ц1-16С/76-1,44;ДГ 90Л2.1;291ГЦ2-385/53-76М
Приводинское ЛПУМГ;КС Приводинская;55;Цех_5;ГПА-Ц1-16С/76-1,44;ДГ 90Л2.1;291ГЦ2-385/53-76М
Приводинское ЛПУМГ;КС Новоприводинская;61;Цех_6;ГПА-Ц-25НК/РМ.СМ;НК-36СТ;352ГЦ2-440/70-100М
Приводинское ЛПУМГ;КС Новоприводинская;62;Цех_6;ГПА-Ц-25НК/РМ.СМ;НК-36СТ;352ГЦ2-440/70-100М
Приводинское ЛПУМГ;КС Новоприводинская;63;Цех_6;ГПА-Ц-25НК/РМ.СМ;НК-36СТ;352ГЦ2-440/70-100М
Приводинское ЛПУМГ;КС Новоприводинская;64;Цех_6;ГПА-Ц-25НК/РМ.СМ;НК-36СТ;352ГЦ2-440/70-100М
Приводинское ЛПУМГ;КС Новоприводинская;71;Цех_7;ГПА-Ц-25НК/РМ.СМ;ПС-90ГП-25;352ГЦ2-440/70-100М
Приводинское ЛПУМГ;КС Новоприводинская;72;Цех_7;ГПА-Ц-25НК/РМ.СМ;ПС-90ГП-25;352ГЦ2-440/70-100М
Приводинское ЛПУМГ;КС Новоприводинская;73;Цех_7;ГПА-Ц-25НК/РМ.СМ;ПС-90ГП-25;352ГЦ2-440/70-100М
Приводинское ЛПУМГ;КС Новоприводинская;74;Цех_7;ГПА-Ц-25НК/РМ.СМ;ПС-90ГП-25;352ГЦ2-440/70-100М
