"ID";"Name";"Type";"Picture";"Description";"Semantics";"global_id";
"1";"Герб муниципального округа Новокосино в городе Москве";"Герб";"4b29170f-c81c-4418-9669-50bb4f419878";"В четырежды рассечённом пурпурном и серебряном поле повышенное узкое золотое противостеннозубчатое стропило, заполненное зеленью, в которой - выходящее из правого нижнего угла золотое солнце.";"Новокосино - уютный уголок столицы, примыкающий непосредственно к Московской кольцевой автомобильной дороге (МКАДу). Район активно застраивается жилыми и социальными объектами. Символика герба муниципального округа Новокосино многозначна: - золотое зубчатое стропило, как знак строительства, символизирует активную застройку муниципального округа, начатую в 1986 году, и продолжающуюся по сей день; -верхнее пурпурное поле с двумя серебряными столбами символизирует возникновение муниципального округа (ранее района) на бывших сельскохозяйственных полях (пурпур), на которых в основном выращивали картофель (столбы - аллегория грядок). Сочетание пурпура с серебром характерно для таких полей в период цветения картофеля; - нижнее зеленое после с восходящим солнцем - символизирует расположение района в восточной части Москвы. Пурпур - символ власти, славы, почета, благородства происхождения, древности. Серебро - символ чистоты, открытости, божественной мудрости, примирения. Зеленый цвет символизирует весну и природу, здоровье, молодость и надежду. Золото - символ высшей ценности, величия, богатства, урожая.";"881376735";
"2";"Флаг муниципального округа Новокосино в городе Москве";"Флаг";"3aaf306c-3d1e-40f8-9388-838c8f3ed923";"Прямоугольное двухстороннее полотнище с отношением ширины к длине 2:3, состоящее из двух горизонтальных полос отделенных друг от друга однократно изломанной в центре желтой полосой с прямоугольными противостоящими зубцами в обе стороны. Верхняя часть над стропилом составлена из 5-ти чередующихся вертикальных полос малинового и белого цветов. Нижняя часть под стропилом - зеленого цвета с восходящим из нижнего угла у древка желтым солнцем (все фигуры из герба муниципального округа Новокосино).";"Новокосино - уютный уголок столицы, примыкающий непосредственно к Московской кольцевой автомобильной дороге (МКАДу). Район активно застраивается жилыми и социальными объектами. Символика герба муниципального округа Новокосино многозначна: желтая ломаная полоса с выступами - аллегория зубчатого стропила, знака символизирующего активную застройку муниципального округа, начатую в 1986 году, и продолжающуюся по сей день; верхняя малиново-белая часть полотнища символизирует возникновение муниципального округа (ранее района) на бывших полях (малиновый цвет), на которых в основном выращивали картофель (белый цвет - аллегория грядок). Сочетание малинового (пурпурного и белого цветов характерно для таких полей в период цветения картофеля; - нижняя зеленая часть полотнища с восходящим солнцем - символизирует расположение района в восточной части Москвы. Белый цвет (серебро) - символ чистоты, открытости, божественной мудрости, примирения. Малиновый цвет (пурпур) - символ власти, славы, почета, благородства происхождения, древности. Зеленый цвет символизирует весну и природу, здоровье, молодость и надежду. Желтый цвет (золото) - символ высшей ценности, величия, богатства, урожая.";"881376867";
"3";"Герб муниципального округа Нагатино-Садовники в городе Москве";"Герб";"8e8a775e-bb48-4606-a4b1-769ae45efc87";"В зелёном поле на чёрной земле - золотая яблоня с таковыми же плодами.";"Зелёный цвет щита символизирует заливные луга, находившиеся в пойме Москвы-реки и зелёные насаждения местности. Чёрная земля символизирует заболоченную (чёрную) местность, на которой в начале XIV века возникло село Нагатинское. Яблоня показывает основной вид деятельности жителей Слободы Садовники, выращивавших многие фруктовые и плодово-ягодные культуры, в том числе и яблони, которые приносили большой доход жителям. Золотой цвет символизирует высшую ценность, величие, богатство. Зелёный цвет символизирует весну, здоровье, природу, молодость и надежду. Чёрный цвет символизирует благоразумие, мудрость, скромность, честность.";"881376945";
"4";"Флаг муниципального округа Нагатино-Садовники в городе Москве";"Флаг";"95d4ead4-d9e8-4de4-8d86-03dd0214d4d9";"Прямоугольное двухстороннее полотнище зелёного цвета с отношением ширины к длине 2:3, на котором изображены жёлтым и чёрным цветом фигуры герба муниципального округа Нагатино-Садовники.";"Зелёный цвет щита символизирует заливные луга, находившиеся в пойме Москвы-реки и зелёные насаждения местности. Чёрная земля символизирует заболоченную (чёрную) местность, на которой в начале XTV века возникло село Нагатинское. Яблоня показывает основной вид деятельности жителей Слободы Садовники, выращивавших многие фруктовые и плодово-ягодные культуры, в том числе и яблони, которые приносили большой доход жителям. Золотой цвет символизирует высшую ценность, величие, богатство. Зелёный цвет символизирует весну, здоровье, природу, молодость и надежду. Чёрный цвет символизирует благоразумие, мудрость, скромность, честность.";"881384742";
"5";"Герб муниципального округа Марфино в городе Москве";"Герб";"4e0b7f34-f186-40e6-a731-dbc1ade83025";"Зелёное и лазоревое поле разделено фигурной перевязью, составленной из рассечённого серебром и золотом берёзового листа, положенного в левую перевязь, между вписанными, уширенными в середине и закрученными на концах навстречу ходу солнца отрезками нити, вверху - золотым, а внизу - серебряным.";"Лист березы совместно с отрезками нитей, выложенными в виде знака интеграла, символизируют нахождение на территории муниципального образования ведущего научного учреждения в области исследования растений - Института физиологии растений им. К. А. Тимирязева. Зелёное поле символизирует леса, произраставшие в Марфино. Лазоревое поле символизирует память о прудах и речке Каменке, ныне исчезнувшей в подземной трубе. Зелёный цвет символизирует весну и природу, здоровье, молодость и надежду. Лазурь - символ возвышенных устремлений, искренности, преданности, возрождения. Серебро - символ чистоты, открытости, божественной мудрости, примирения. Золото - символ высшей ценности, величия, богатства.";"881396305";
"6";"Флаг муниципального округа Марфино в городе Москве";"Флаг";"928dc8c1-7f96-4786-b6ac-00c8c2a2b4ff";"Прямоугольное двухстороннее полотнище с отношением ширины к длине 2:3, воспроизводящее композицию герба муниципального округа Марфино, выполненную зеленым, синим, белым и жёлтым цветом.";"Лист березы совместно с отрезками нитей, выложенными в виде знака интеграла, символизируют нахождение на территории муниципального образования ведущего научного учреждения в области исследования растений - Института физиологии растений им. К. А. Тимирязева. Зелёное поле символизирует леса, произраставшие в Марфино. Голубое поле символизирует память о прудах и речке Каменке, ныне исчезнувшей в подземной трубе. Зелёный цвет символизирует весну и природу, здоровье, молодость и надежду. Голубой цвет (лазурь) - символ возвышенных устремлений, искренности, преданности, возрождения. Белый цвет (серебро) - символ чистоты, открытости, божественной мудрости, примирения. Жёлтый цвет (золото) - символ высшей ценности, величия, богатства.";"881397411";
"7";"Герб муниципального округа Ломоносовский в городе Москве";"Герб";"0e3750e0-38cb-4e97-8327-0279ba20bea2";"В золотом щите - пониженный червленый пояс и поверх всего - зелёный дуб с корнями и четырьмя червлёными желудями (два на стволе и два на краях нижних ветвей); крона дуба показана выше пояса.";"Символика герба Ломоносовского муниципального округа Москвы многозначна. Дуб - символ мудрости, мощи, выносливости, долголетия, независимости, благородства и славы. Зелёный дуб символизирует дубравы, которые в старину произрастали на территории муниципального округа. По преданию, ещё при Иване Калите в этих местах рубили дубы для постройки кремлёвских стен вместо старых сосновых. Желуди символизируют плодородие, процветание, духовную энергию, произрастающую из зерна истину. Дуб с желудями считается символом зрелости, полной силы. Красный пояс символизирует главную магистраль муниципального округа - Ленинский проспект, проходящий «красной нитью» по территории округа и соединяющий центр столицы с Московской кольцевой автодорогой (МКАД). Применённые в гербе цвета символизируют: золото - символ высшей ценности, величия, богатства, стабильности, солнечного света; червлень - символ мужества, труда, жизнеутверждающей силы, красоты и праздника; зеленый цвет символизирует весну, здоровье, природу, надежду";"881397550";
"8";"Флаг муниципального округа Ломоносовский в городе Москве";"Флаг";"5ed397ea-2dbc-49da-b8d9-86076a30aa7e";"Прямоугольное двухстороннее полотнище желтого цвета с отношением ширины к длине 2:3, воспроизводящее фигуры герба Ломоносовского муниципальною округа Москвы, выполненные зелёным и красным цветом.";"Символика флага Ломоносовского муниципального округа Москвы многозначна. Дуб - символ мудрости, мощи, выносливости, долголетия, независимости, благородства и славы. Зеленый дуб символизирует дубравы, которые в старину произрастали на территории муниципального округа. По преданию, ещё при Иване Калите в этих местах рубили дубы для постройки кремлёвских стен вместо старых сосновых. Желуди символизируют плодородие, процветание, духовную энергию, произрастающую из зерна истину. Дуб с желудями считается символом зрелости, полной силы. Красный пояс символизирует главную магистраль муниципального округа - Ленинский проспект, проходящий «красной нитью» по территории округа и соединяющий центр столицы с Московской кольцевой автодорогой (МКАД). Применённые во флаге цвета символизируют: жёлтый (золото) - символ высшей ценности, величия, богатства, стабильности, солнечного света; красный (червлень) - символ мужества, труда, жизнеутверждающей силы, красоты и праздника; зелёный цвет символизирует весну, здоровье, природу, надежду.";"881401300";
"9";"Герб муниципального округа Косино-Ухтомский в городе Москве";"Герб";"2dbd4351-7747-4313-b687-828f27e77c76";"В лазоревом и серебряном поле, пересеченном в бездну, во главе - три вытянутых в пояс серебряных овала (один подле другого), а в сердце щита в серебре - семь лазоревых капель, изогнутых сообразно делению.";"Косино - одно из древнейших сел Подмосковья. Здесь сохранились несколько озер ледникового периода - Белое, Святое, Черное (аллегорически представленные в гербе - серебряными овалами). На их берегах археологи обнаружили древние стоянки человека и курганы. Впервые письменно Косино упоминается в начале XV века, когда село находилось во владении серпуховских князей. В XVII веке Косино входило в состав царских вотчин; именно здесь, у восточного берега Белого озера, были построены верфь и пристань. Улиткообразное деление в виде уходящей в бездну волны - аллегорически символизирует связь времен и значимость этих озер в истории Москвы и всего Российского государства. В 1689-1691 годах в Косино пребывал юный царь Петр I, который плавал по озеру на построенных здесь ботиках, давших толчок к созданию в дальнейшем Российского флота. Число семь считается символом гармонии, удачи. Неделя включает семь дней, в радуге - семь основных цветов, в мире - семь чудес света, музыкальная грамота основана на семи нотах и т.д. В русских поговорках число семь наиболее цитируемое. Лазурь - символ возвышенных устремлений, искренности, преданности, возрождения. Серебро - символ чистоты, открытости, божественной мудрости, примирения.";"881402107";
"10";"Флаг муниципального округа Косино-Ухтомский в городе Москве";"Флаг";"87a4c66e-88bc-4d62-ac8c-86897e879a05";"Прямоугольное двухстороннее полотнище с отношением ширины к длине 2:3, несущее изображение фигур герба муниципального округа Косино-Ухтомский, выполненное голубым и белым цветом.";"Косино - одно из древнейших сел Подмосковья. Здесь сохранились несколько озер ледникового периода - Белое, Святое, Черное (аллегорически представленные в гербе - серебряными овалами). На их берегах археологи обнаружили древние стоянки человека и курганы. Впервые письменно Косино упоминается в начале XV века, когда село находилось во владении серпуховских князей. В XVII веке Косино входило в состав царских вотчин; именно здесь, у восточного берега Белого озера, были построены верфь и пристань. Улиткообразное деление полотнища белым и голубым цветом в виде уходящей в бездну волны - аллегорически символизирует связь времен и значимость этих озер в истории Москвы и всего Российского государства. В 1689-1691 годах в Косино пребывал юный царь Петр I, который плавал по озеру на построенных здесь ботиках, давших толчок к созданию в дальнейшем Российского флота. Число семь считается символом гармонии, удачи. Неделя включает семь дней, в радуге - семь основных цветов, в мире - семь чудес света, музыкальная грамота основана на семи нотах и т.д. В русских поговорках число семь наиболее цитируемое. Голубой цвет (лазурь) - символ возвышенных устремлений, искренности, преданности, возрождения. Белый цвет (серебро) - символ чистоты, открытости, божественной мудрости, примирения.";"881402721";
